Sheet,Name,CUDA_ms,CPU_overhead_ms,Type
Embeddings,MACE/SphericalHarmonics,0.896709,0.0,CUDA
Embeddings,MACE/RadialEmbedding,0.5757680000000001,0.0,CUDA
Embeddings,MACE/NodeEmbedding,0.244322,0.0,CUDA
Embeddings,MACE/AtomicEnergies,0.0031520000000000003,0.0,CUDA
Embeddings,MACE/RadialEmbedding,0.0,0.654942,CPU_Overhead
Embeddings,MACE/SphericalHarmonics,0.0,0.998621,CPU_Overhead
Embeddings,MACE/NodeEmbedding,0.0,0.47781799999999996,CPU_Overhead
Embeddings,MACE/AtomicEnergies,0.0,0.122876,CPU_Overhead
interaction,MACE/Interaction[0]/SkipTensorProduct,1.77,0.0,CUDA
interaction,MACE/Interaction[1]/ConvTPWeights,1.535,0.0,CUDA
interaction,MACE/Interaction[1]/Linear_Interaction,1.197,0.0,CUDA
interaction,MACE/Interaction[0]/ConvTPWeights,0.9716889999999999,0.0,CUDA
interaction,MACE/Interaction[0]/Linear_Interaction,0.9694170000000001,0.0,CUDA
interaction,MACE/Interaction[1]/ConvTensorProduct,0.468943,0.0,CUDA
interaction,MACE/Interaction[1]/LinearUp_Interaction,0.42373200000000005,0.0,CUDA
interaction,MACE/Interaction[1]/SkipTensorProduct,0.34673200000000004,0.0,CUDA
interaction,MACE/Interaction[0]/LinearUp_Interaction,0.222636,0.0,CUDA
interaction,MACE/Interaction[0]/ConvTensorProduct,0.161799,0.0,CUDA
interaction,MACE/Interaction[1]/Reshape,0.004109,0.0,CUDA
interaction,MACE/Interaction[0]/Reshape,0.004105,0.0,CUDA
interaction,MACE/Interaction[1]/Main,0.001998,0.0,CUDA
interaction,MACE/Interaction[0]/Main,0.001996,0.0,CUDA
interaction,MACE/Interaction[1]/Main,0.0,4.561,CPU_Overhead
interaction,MACE/Interaction[0]/Main,0.0,5.182,CPU_Overhead
interaction,MACE/Interaction[1]/ConvTPWeights,0.0,0.414889,CPU_Overhead
interaction,MACE/Interaction[0]/SkipTensorProduct,0.0,1.867,CPU_Overhead
interaction,MACE/Interaction[1]/Linear_Interaction,0.0,2.084,CPU_Overhead
interaction,MACE/Interaction[0]/ConvTPWeights,0.0,0.553782,CPU_Overhead
interaction,MACE/Interaction[1]/ConvTensorProduct,0.0,0.699406,CPU_Overhead
interaction,MACE/Interaction[0]/Linear_Interaction,0.0,1.15,CPU_Overhead
interaction,MACE/Interaction[1]/SkipTensorProduct,0.0,0.544861,CPU_Overhead
interaction,MACE/Interaction[1]/LinearUp_Interaction,0.0,0.544985,CPU_Overhead
interaction,MACE/Interaction[0]/ConvTensorProduct,0.0,0.855615,CPU_Overhead
interaction,MACE/Interaction[0]/LinearUp_Interaction,0.0,0.42209199999999997,CPU_Overhead
interaction,MACE/Interaction[1]/Reshape,0.0,0.124923,CPU_Overhead
interaction,MACE/Interaction[0]/Reshape,0.0,0.151503,CPU_Overhead
product,MACE/Product[0]/SymmetricContractions,2.241,0.0,CUDA
product,MACE/Product[1]/Main,1.563,0.0,CUDA
product,MACE/Product[1]/SymmetricContractions,0.589013,0.0,CUDA
product,MACE/Product[0]/Linear_Product,0.449583,0.0,CUDA
product,MACE/Product[1]/Linear_Product,0.182868,0.0,CUDA
product,MACE/Product[0]/Main,0.112136,0.0,CUDA
product,MACE/Product[0]/Main,0.0,4.16,CPU_Overhead
product,MACE/Product[0]/SymmetricContractions,0.0,3.338,CPU_Overhead
product,MACE/Product[0]/Linear_Product,0.0,0.598376,CPU_Overhead
product,MACE/Product[1]/Main,0.0,1.603,CPU_Overhead
product,MACE/Product[1]/SymmetricContractions,0.0,1.051,CPU_Overhead
product,MACE/Product[1]/Linear_Product,0.0,0.346402,CPU_Overhead
readout,MACE/Readout[0]/Linear_readout,0.182239,0.0,CUDA
readout,MACE/Readout[1]/Linear1,0.17614,0.0,CUDA
readout,MACE/Readout[1]/Linear2,0.173685,0.0,CUDA
readout,MACE/Readout[1]/NonLinearity,0.024466,0.0,CUDA
readout,MACE/Readout[1]/Main,0.0,0.785482,CPU_Overhead
readout,MACE/Readout[1]/Linear1,0.0,0.320432,CPU_Overhead
readout,MACE/Readout[0]/Main,0.0,0.364404,CPU_Overhead
readout,MACE/Readout[0]/Linear_readout,0.0,0.340214,CPU_Overhead
readout,MACE/Readout[1]/Linear2,0.0,0.31966,CPU_Overhead
readout,MACE/Readout[1]/NonLinearity,0.0,0.091942,CPU_Overhead
