device,batch_size,max_ell,hidden_irreps,num_atoms,num_edges,e3nn_ms,cueq_ms,speedup_e3_to_cueq
cuda,1,1,16x0e + 16x1o,1000,158000,85.69892909377813,77.87050757557154,1.1005312763707016
cuda,2,1,16x0e + 16x1o,1000,158000,86.4123672619462,79.4785440992564,1.0872414466227582
cuda,4,1,16x0e + 16x1o,1000,158000,89.48487347923219,78.65131521597505,1.137741603347743
cuda,8,1,16x0e + 16x1o,1000,158000,90.48406538553536,81.1940845567733,1.1144169662048007
cuda,16,1,16x0e + 16x1o,1000,158000,91.21145368553698,81.18071838282049,1.1235605634260957
cuda,32,1,16x0e + 16x1o,1000,158000,91.13460520282388,82.1835692692548,1.108915151935579
cuda,1,2,16x0e + 16x1o,1000,158000,292.5995304994285,96.09630305320024,3.0448573067107625
cuda,2,2,16x0e + 16x1o,1000,158000,292.79069325886667,102.00970890000463,2.8702237896382568
cuda,4,2,16x0e + 16x1o,1000,158000,292.91424554772675,100.34062565304339,2.9191989151090416
cuda,8,2,16x0e + 16x1o,1000,158000,293.1332923937589,101.69188653118908,2.8825632249811237
cuda,16,2,16x0e + 16x1o,1000,158000,293.08016766794026,99.82636827044189,2.9358993294632345
cuda,32,2,16x0e + 16x1o,1000,158000,292.9034020844847,100.44824576936662,2.915963338543544
cuda,1,3,16x0e + 16x1o,1000,158000,379.5028150640428,127.03329160809518,2.9874280218986233
cuda,2,3,16x0e + 16x1o,1000,158000,378.39825226925313,130.24322762154043,2.905319986147758
cuda,4,3,16x0e + 16x1o,1000,158000,378.0248133651912,131.69296032749116,2.870501296539522
cuda,8,3,16x0e + 16x1o,1000,158000,377.6387591473758,126.08834253624082,2.995033097836411
cuda,16,3,16x0e + 16x1o,1000,158000,377.39409036934376,126.23788692057134,2.989546954368774
cuda,32,3,16x0e + 16x1o,1000,158000,377.4006537348032,130.96520598977804,2.8816864058096443
